"cuid","rt_dat_qual"
1201,3
1204,3
1202,3
1207,3
1210,3
1203,3
1209,3
1205,3
1212,3
1211,3
1206,3
1216,3
1213,3
1214,5
1217,1
1219,3
1220,5
1004,2
1005,2
1010,4
1011,4
1006,4
1008,4
1007,4
1012,4
1000,2
1001,1
1017,3
1014,1
1034,4
1035,4
1018,4
1019,1
1020,1
1033,1
1038,2
1027,1
1028,1
1026,2
1029,1
1022,1
1023,1
805,3
801,3
802,3
800,3
804,5
803,5
807,3
809,3
808,5
811,3
810,3
812,5
813,3
814,3
815,5
819,5
820,5
821,5
822,3
823,5
828,5
824,5
825,5
826,1
827,5
816,5
818,5
880,4
401,2
402,1
405,1
406,5
408,1
410,5
409,1
412,1
414,5
415,1
420,1
421,1
423,1
424,1
426,1
427,1
480,4
481,6
205,5
206,5
207,1
227,5
210,1
222,1
217,1
224,5
221,5
212,1
229,1
211,5
214,5
220,5
242,5
202,5
215,5
225,4
231,5
218,5
219,5
209,5
213,5
223,5
171,5
190,5
191,5
204,5
180,5
192,5
181,5
193,5
174,5
183,5
194,5
175,5
176,5
195,5
196,5
177,5
172,5
179,5
197,5
186,5
198,5
199,5
200,5
187,5
201,5
189,5
284,1
287,1
283,1
285,1
289,1
288,1
290,2
286,1
282,1
280,6
281,1
512,5
513,5
509,5
515,5
514,5
510,5
511,5
504,5
508,5
506,5
507,5
501,5
500,5
503,5
502,5
518,5
522,5
520,5
519,5
523,5
517,5
516,5
608,5
609,5
612,5
611,5
610,5
541,5
544,5
532,5
546,5
534,5
549,5
560,5
563,5
535,5
564,5
536,5
571,5
537,5
538,5
572,5
575,5
577,5
524,5
579,5
580,5
581,5
584,5
525,5
585,5
587,5
593,5
596,5
597,5
600,5
601,5
548,5
603,5
527,5
606,5
607,5
614,5
615,5
682,2
681,6
680,6
683,4
322,3
325,5
332,5
326,5
329,2
330,5
328,3.5
904,5
977,5
900,5
978,2
910,4.5
911,5
916,5
913,1
912,5
914,2
917,5
919,5
920,5
918,2
922,5
924,5
926,5
925,2
945,5
951,2
927,5
952,1
953,2
928,1
955,2
929,5
939,4
932,5
941,1
933,5
969,1
973,5
971,5
972,2
985,6
981,4
983,2
980,2
984,6
982,4
302,6
308,6
303,3
304,3
306,6
307,3
305,6
317,3
310,3
311,3
309,6
318,3
319,3
315,3
313,3
314,3
316,3
333,6
312,3
701,1
906,6
705,2
749,2
704,2
750,2
707,2
709,2
708,2
710,1
751,2
760,6
756,6
719,5
735,2
720,2
721,2
711,5
757,6
712,6
725,2
753,6
713,2
714,2
740,2
758,6
716,2
761,6
727,2
718,2
763,6
752,2
715,2
728,2
729,2
759,6
738,2
739,2
732,2
731,2
734,2
745,6
742,2
785,6
783,2
784,2
782,2
780,2
781,2
301,5
1300,5
1380,4
